frame_id,detection_ms,tracking_ms,recognition_ms,render_ms
0,0.000,0.000,0.000,267.516
6,0.000,0.000,0.000,5.670
7,0.000,0.000,0.000,3.200
8,0.000,0.000,0.000,4.405
9,0.000,0.000,0.000,1.961
10,0.000,0.000,0.000,6.738
11,0.000,0.000,0.000,2.738
12,0.000,0.000,0.000,3.422
13,0.000,0.000,0.000,3.250
14,0.000,0.000,0.000,2.859
15,0.000,0.000,0.000,3.022
16,0.000,0.000,0.000,3.090
17,0.000,0.000,0.000,7.390
18,0.000,0.000,0.000,2.634
19,0.000,0.000,0.000,2.938
20,0.000,0.000,0.000,3.860
21,0.000,0.000,0.000,2.565
22,0.000,0.000,0.000,3.179
23,0.000,0.000,0.000,3.839
24,0.000,0.000,0.000,3.442
25,0.000,0.000,0.000,2.592
26,0.000,0.000,0.000,11.073
27,0.000,0.000,0.000,2.989
28,0.000,0.000,0.000,2.637
29,0.000,0.000,0.000,2.696
30,0.000,0.000,0.000,4.798
31,0.000,0.000,0.000,3.312
32,0.000,0.000,0.000,2.898
33,0.000,0.000,0.000,3.730
34,0.000,0.000,0.000,3.873
35,0.000,0.000,0.000,2.862
36,0.000,0.000,0.000,2.852
37,0.000,0.000,0.000,3.128
38,0.000,0.000,0.000,2.202
39,0.000,0.000,0.000,8.739
40,0.000,0.000,0.000,3.262
41,0.000,0.000,0.000,4.373
42,0.000,0.000,0.000,3.583
43,0.000,0.000,0.000,7.815
44,0.000,0.000,0.000,2.804
45,0.000,0.000,0.000,2.821
46,0.000,0.000,0.000,3.198
47,0.000,0.000,0.000,2.684
48,0.000,0.000,0.000,3.215
49,0.000,0.000,0.000,2.310
50,0.000,0.000,0.000,4.019
51,0.000,0.000,0.000,7.211
52,0.000,0.000,0.000,1.799
53,0.000,0.000,0.000,10.960
54,0.000,0.000,0.000,2.112
55,0.000,0.000,0.000,2.113
56,0.000,0.000,0.000,1.723
57,0.000,0.000,0.000,1.993
58,0.000,0.000,0.000,2.523
59,0.000,0.831,0.000,8.404
60,0.000,0.000,0.000,2.344
61,0.000,0.000,0.000,2.653
62,0.000,0.000,0.000,1.756
63,0.000,0.000,0.000,2.086
64,0.000,0.000,0.000,1.649
65,0.000,0.000,0.000,1.974
66,0.000,0.000,0.000,3.037
67,0.000,0.000,0.000,1.983
68,0.000,0.000,0.000,18.385
69,0.000,0.000,0.000,58.463
70,0.000,0.000,0.000,2.583
71,0.000,0.000,0.000,6.542
72,0.000,0.000,0.000,2.896
73,0.000,0.000,0.000,3.425
74,0.000,0.000,0.000,1.658
75,0.000,0.000,0.000,2.219
76,0.000,0.000,0.000,2.368
77,0.000,0.616,0.000,1.432
78,0.000,0.000,0.000,2.168
79,0.000,0.000,0.000,3.670
80,0.000,0.000,0.000,3.109
81,0.000,0.000,0.000,2.870
82,0.000,0.000,0.000,2.280
83,0.000,0.000,0.000,3.211
84,0.000,0.000,0.000,2.136
85,0.000,0.000,0.000,2.582
86,0.000,0.000,0.000,3.472
87,0.000,0.000,0.000,2.662
88,0.000,0.000,0.000,2.100
89,0.000,0.000,0.000,3.422
90,0.000,0.000,0.000,2.464
91,0.000,0.000,0.000,2.631
92,0.000,0.549,0.000,1.730
93,0.000,0.000,0.000,1.950
94,0.000,0.000,0.000,2.811
95,0.000,0.000,0.000,1.919
96,0.000,0.000,0.000,1.628
97,0.000,0.000,0.000,1.851
98,0.000,0.000,0.000,1.826
99,0.000,0.000,0.000,1.886
100,0.000,0.000,0.000,2.927
101,0.000,0.000,0.000,1.827
102,0.000,0.000,0.000,1.808
103,0.000,0.000,0.000,1034.543
129,0.000,0.000,0.000,3.600
130,0.000,0.000,0.000,3.106
131,0.000,0.000,0.000,1.959
132,0.000,0.000,0.000,2.145
133,0.000,0.000,0.000,1.715
134,0.000,0.000,0.000,1.388
135,0.000,0.000,0.000,1.685
136,0.000,0.000,0.000,2.414
137,0.000,0.000,0.000,2.016
138,0.000,0.000,0.000,3.587
139,0.000,0.000,0.000,1.579
140,0.000,0.000,0.000,1.715
141,0.000,0.000,0.000,1.456
142,0.000,0.000,0.000,11.765
143,0.000,0.000,0.000,2.778
144,0.000,0.000,0.000,3.703
145,0.000,0.000,0.000,3.152
146,0.000,0.000,0.000,3.080
147,0.000,0.000,0.000,2.794
148,0.000,0.000,0.000,4.016
149,0.000,0.000,0.000,3.044
150,0.000,0.000,0.000,3.152
151,0.000,0.000,0.000,3.168
152,0.000,0.000,0.000,2.913
153,0.000,0.000,0.000,2.616
154,0.000,0.000,0.000,2.621
155,0.000,0.000,0.000,3.543
156,0.000,0.000,0.000,3.382
157,0.000,0.000,0.000,3.138
158,0.000,0.000,0.000,3.330
159,0.000,0.000,0.000,3.511
160,0.000,0.000,0.000,2.552
161,0.000,0.960,0.000,2.281
162,0.000,0.000,0.000,2.942
163,0.000,0.000,0.000,4.247
164,0.000,0.000,0.000,3.048
165,0.000,0.000,0.000,2.914
166,0.000,0.000,0.000,2.697
167,0.000,0.000,0.000,3.660
168,0.000,0.000,0.000,2.665
169,0.000,0.000,0.000,3.932
170,0.000,0.000,0.000,3.760
171,0.000,0.000,0.000,2.830
172,0.000,0.000,0.000,2.788
173,0.000,0.000,0.000,3.000
174,0.000,0.000,0.000,2.995
175,0.000,0.000,0.000,4.900
176,0.000,0.000,0.000,2.964
177,0.000,0.000,0.000,3.231
178,0.000,0.000,0.000,3.560
179,0.000,0.000,0.000,2.725
180,0.000,0.000,0.000,2.744
181,0.000,0.000,0.000,4.403
182,0.000,0.000,0.000,3.137
183,0.000,0.000,0.000,2.580
184,0.000,0.000,0.000,3.835
185,0.000,0.000,0.000,2.867
186,0.000,0.000,0.000,2.666
187,0.000,0.000,0.000,4.419
188,0.000,1.317,0.000,17.350
189,0.000,0.000,0.000,3.035
190,0.000,0.000,0.000,3.352
191,0.000,0.000,0.000,2.769
192,0.000,0.000,0.000,3.465
193,0.000,0.000,0.000,2.700
194,0.000,0.000,0.000,3.470
195,0.000,0.000,0.000,3.173
196,0.000,0.000,0.000,3.629
197,0.000,0.000,0.000,2.761
198,0.000,0.000,0.000,2.998
199,0.000,0.000,0.000,2.973
200,0.000,0.000,0.000,3.384
201,0.000,0.000,0.000,2.713
202,0.000,0.000,0.000,3.477
203,0.000,0.000,0.000,4.010
204,0.000,0.000,0.000,4.011
205,0.000,0.000,0.000,2.441
206,0.000,0.000,0.000,3.691
207,0.000,0.000,0.000,2.693
208,0.000,0.000,0.000,3.868
209,0.000,0.000,0.000,2.674
210,0.000,0.000,0.000,3.341
211,0.000,0.000,0.000,2.591
212,0.000,0.000,0.000,3.628
213,0.000,0.000,0.000,2.534
214,0.000,0.000,0.000,3.851
215,0.000,0.000,0.000,3.088
216,0.000,0.000,0.000,3.386
217,0.000,0.000,0.000,3.737
218,0.000,0.000,0.000,3.593
219,0.000,0.000,0.000,2.914
220,0.000,0.000,0.000,11.185
221,0.000,0.920,0.000,11.850
222,0.000,0.000,0.000,3.270
223,0.000,0.000,0.000,4.252
224,0.000,0.000,0.000,2.770
225,0.000,0.000,0.000,3.425
226,0.000,0.000,0.000,2.525
227,0.000,0.000,0.000,2.839
228,0.000,0.000,0.000,2.936
229,0.000,0.000,0.000,3.457
230,0.000,0.000,0.000,2.550
231,0.000,0.000,0.000,3.187
232,0.000,0.000,0.000,3.632
233,0.000,0.000,0.000,2.779
234,0.000,0.000,0.000,2.855
235,0.000,0.000,0.000,3.761
236,0.000,0.000,0.000,2.796
237,0.000,0.000,0.000,2.737
238,0.000,0.000,0.000,2.408
239,0.000,0.000,0.000,5.147
240,0.000,0.000,0.000,3.004
241,0.000,0.000,0.000,3.135
242,0.000,0.000,0.000,2.964
243,0.000,0.000,0.000,3.320
244,0.000,0.000,0.000,3.279
245,0.000,0.000,0.000,2.387
246,0.000,0.000,0.000,3.022
247,0.000,0.000,0.000,2.613
248,0.000,0.000,0.000,3.946
249,0.000,0.000,0.000,2.709
250,0.000,0.000,0.000,2.768
251,0.000,0.000,0.000,3.096
252,0.000,0.000,0.000,3.732
253,0.000,0.000,0.000,2.518
254,0.000,0.000,0.000,3.310
255,0.000,0.000,0.000,2.611
256,0.000,0.000,0.000,2.863
257,0.000,0.000,0.000,2.506
258,0.000,0.000,0.000,3.570
259,0.000,0.000,0.000,4.579
260,0.000,0.000,0.000,4.249
261,0.000,0.000,0.000,2.726
262,0.000,0.000,0.000,6.139
263,0.000,0.000,0.000,2.747
264,0.000,0.000,0.000,2.770
265,0.000,0.000,0.000,2.970
266,0.000,0.000,0.000,3.900
267,0.000,0.000,0.000,2.712
268,0.000,0.000,0.000,3.738
269,0.000,0.000,0.000,2.555
270,0.000,0.000,0.000,2.915
271,0.000,0.615,0.000,2.685
272,0.000,1.363,0.000,2.541
273,0.000,0.000,0.000,3.045
274,0.000,0.000,0.000,3.422
275,0.000,0.000,0.000,3.623
276,0.000,0.000,0.000,2.706
277,0.000,0.000,0.000,3.144
278,0.000,0.000,0.000,2.776
279,0.000,0.000,0.000,2.798
280,0.000,0.000,0.000,10.887
281,0.000,1.312,0.000,3.155
282,0.000,0.000,0.000,3.148
283,0.000,0.000,0.000,3.356
284,0.000,0.000,0.000,4.392
285,0.000,0.000,0.000,2.663
286,0.000,0.000,0.000,3.391
287,0.000,0.000,0.000,2.805
288,0.000,0.000,0.000,2.419
289,0.000,0.000,0.000,11.523
290,0.000,1.401,0.000,2.800
291,0.000,0.000,0.000,3.135
292,0.000,0.000,0.000,4.051
293,0.000,0.000,0.000,3.687
294,0.000,0.000,0.000,2.668
295,0.000,0.000,0.000,3.201
296,0.000,0.000,0.000,2.821
297,0.000,0.000,0.000,3.732
298,0.000,0.000,0.000,3.164
299,0.000,0.000,0.000,5.727
300,0.000,0.000,0.000,3.107
301,0.000,0.000,0.000,3.156
302,0.000,0.000,0.000,2.763
303,0.000,0.000,0.000,2.997
304,0.000,0.000,0.000,2.588
305,0.000,0.000,0.000,4.104
306,0.000,0.000,0.000,2.802
307,0.000,0.000,0.000,2.647
308,0.000,0.000,0.000,2.619
309,0.000,0.000,0.000,2.559
310,0.000,0.000,0.000,2.814
311,0.000,0.864,0.000,2.451
312,0.000,0.000,0.000,2.887
313,0.000,0.000,0.000,4.071
314,0.000,0.000,0.000,2.832
315,0.000,0.000,0.000,2.506
316,0.000,0.000,0.000,3.221
317,0.000,0.000,0.000,2.490
318,0.000,0.000,0.000,3.113
319,0.000,0.000,0.000,5.000
320,0.000,0.000,0.000,4.837
321,0.000,0.000,0.000,3.460
322,0.000,0.000,0.000,3.431
323,0.000,0.000,0.000,2.566
324,0.000,0.000,0.000,2.944
325,0.000,0.000,0.000,2.558
326,0.000,0.000,0.000,4.743
327,0.000,0.000,0.000,2.556
328,0.000,0.000,0.000,3.543
329,0.000,0.000,0.000,2.786
330,0.000,0.000,0.000,5.019
331,0.000,0.000,0.000,3.579
332,0.000,0.000,0.000,2.845
333,0.000,0.000,0.000,3.119
334,0.000,0.000,0.000,2.596
335,0.000,0.000,0.000,3.061
336,0.000,0.000,0.000,2.897
337,0.000,0.000,0.000,3.828
338,0.000,0.000,0.000,2.927
339,0.000,0.000,0.000,3.224
340,0.000,0.000,0.000,3.852
341,0.000,0.000,0.000,2.694
342,0.000,0.000,0.000,2.609
343,0.000,0.000,0.000,3.871
344,0.000,0.951,0.000,2.112
345,0.000,0.000,0.000,2.949
346,0.000,0.000,0.000,3.751
347,0.000,0.000,0.000,3.071
348,0.000,0.000,0.000,3.606
349,0.000,0.000,0.000,3.487
350,0.000,0.000,0.000,3.095
351,0.000,0.000,0.000,2.716
352,0.000,0.000,0.000,3.483
353,0.000,0.000,0.000,2.977
354,0.000,0.000,0.000,3.472
355,0.000,0.000,0.000,3.490
356,0.000,0.000,0.000,2.295
357,0.000,0.000,0.000,2.848
358,0.000,0.000,0.000,3.895
359,0.000,0.000,0.000,2.633
360,0.000,0.000,0.000,3.002
361,0.000,0.000,0.000,3.217
362,0.000,0.000,0.000,3.437
363,0.000,0.000,0.000,2.969
364,0.000,0.000,0.000,4.184
365,0.000,0.000,0.000,2.743
366,0.000,0.000,0.000,4.586
367,0.000,0.000,0.000,2.906
368,0.000,0.000,0.000,3.382
369,0.000,0.000,0.000,4.237
370,0.000,0.000,0.000,2.688
371,0.000,0.000,0.000,4.052
372,0.000,0.000,0.000,3.058
373,0.000,0.000,0.000,3.119
374,0.000,0.000,0.000,2.602
375,0.000,0.000,0.000,3.275
376,0.000,0.000,0.000,3.344
377,0.000,0.000,0.000,4.021
378,0.000,0.000,0.000,2.606
379,0.000,0.000,0.000,3.368
380,0.000,0.000,0.000,3.690
381,0.000,0.000,0.000,4.244
382,0.000,0.000,0.000,3.037
383,0.000,0.000,0.000,3.037
384,0.000,0.000,0.000,3.615
385,0.000,0.000,0.000,2.504
386,0.000,0.000,0.000,3.195
387,0.000,0.000,0.000,2.888
388,0.000,0.000,0.000,3.657
389,0.000,0.000,0.000,2.904
390,0.000,0.000,0.000,3.522
391,0.000,0.000,0.000,3.318
392,0.000,0.000,0.000,2.890
393,0.000,0.000,0.000,4.288
394,0.000,0.000,0.000,3.889
395,0.000,0.000,0.000,3.428
396,0.000,0.000,0.000,3.522
397,0.000,0.000,0.000,2.885
398,0.000,0.000,0.000,2.717
399,0.000,0.000,0.000,2.936
400,0.000,0.000,0.000,3.368
401,0.000,1.189,0.000,2.922
402,0.000,0.000,0.000,2.685
403,0.000,0.000,0.000,3.126
404,0.000,0.000,0.000,2.500
405,0.000,0.000,0.000,3.881
406,0.000,0.000,0.000,3.291
407,0.000,0.000,0.000,2.496
408,0.000,0.000,0.000,2.996
409,0.000,0.000,0.000,3.813
410,0.000,0.000,0.000,2.786
411,0.000,0.000,0.000,3.558
412,0.000,0.000,0.000,2.631
413,0.000,0.000,0.000,2.948
414,0.000,0.000,0.000,2.796
415,0.000,0.000,0.000,4.105
416,0.000,0.000,0.000,2.811
417,0.000,0.000,0.000,2.853
418,0.000,0.000,0.000,2.886
419,0.000,0.000,0.000,2.926
420,0.000,0.000,0.000,3.273
421,0.000,0.000,0.000,3.483
422,0.000,0.000,0.000,3.053
423,0.000,0.000,0.000,3.411
424,0.000,0.000,0.000,2.668
425,0.000,0.000,0.000,4.515
426,0.000,0.000,0.000,2.873
427,0.000,0.000,0.000,5.256
428,0.000,0.000,0.000,3.908
429,0.000,0.000,0.000,3.015
430,0.000,0.000,0.000,2.941
431,0.000,0.000,0.000,2.856
432,0.000,0.000,0.000,2.568
433,0.000,0.000,0.000,3.528
434,0.000,0.000,0.000,3.846
435,0.000,0.000,0.000,2.511
436,0.000,0.000,0.000,3.388
437,0.000,0.000,0.000,2.572
438,0.000,0.000,0.000,2.625
439,0.000,0.894,0.000,2.766
440,0.000,0.969,0.000,12.100
441,0.000,0.000,0.000,2.869
442,0.000,0.000,0.000,3.622
443,0.000,0.000,0.000,2.854
444,0.000,0.000,0.000,3.762
445,0.000,0.000,0.000,4.419
446,0.000,0.000,0.000,2.988
447,0.000,0.000,0.000,2.448
448,0.000,0.000,0.000,3.802
449,0.000,0.000,0.000,3.330
450,0.000,0.000,0.000,3.513
451,0.000,0.000,0.000,2.678
452,0.000,0.000,0.000,2.589
453,0.000,0.000,0.000,3.028
454,0.000,0.000,0.000,3.565
455,0.000,0.000,0.000,3.609
456,0.000,0.000,0.000,3.844
457,0.000,0.000,0.000,2.721
458,0.000,0.000,0.000,3.217
459,0.000,0.000,0.000,3.092
460,0.000,0.000,0.000,3.759
461,0.000,0.000,0.000,4.008
462,0.000,0.000,0.000,3.098
463,0.000,0.000,0.000,3.311
464,0.000,0.000,0.000,3.392
465,0.000,0.000,0.000,2.966
466,0.000,0.000,0.000,3.371
467,0.000,1.072,0.000,2.457
468,0.000,0.000,0.000,3.666
469,0.000,0.000,0.000,5.631
470,0.000,0.000,0.000,2.650
471,0.000,0.000,0.000,2.969
472,0.000,0.000,0.000,2.593
473,0.000,0.000,0.000,3.634
474,0.000,0.000,0.000,3.074
475,0.000,0.000,0.000,3.708
476,0.000,0.000,0.000,4.009
477,0.000,0.000,0.000,3.570
478,0.000,0.000,0.000,2.607
479,0.000,0.000,0.000,2.909
480,0.000,0.000,0.000,2.866
481,0.000,0.000,0.000,4.163
482,0.000,0.000,0.000,2.477
483,0.000,0.000,0.000,3.412
484,0.000,0.000,0.000,3.179
485,0.000,0.000,0.000,4.896
486,0.000,0.000,0.000,2.983
487,0.000,0.000,0.000,3.645
488,0.000,0.000,0.000,2.808
489,0.000,0.000,0.000,2.646
490,0.000,0.000,0.000,3.551
491,0.000,0.000,0.000,2.679
492,0.000,0.000,0.000,2.877
493,0.000,0.000,0.000,3.034
494,0.000,0.930,0.000,2.756
495,0.000,0.000,0.000,2.786
496,0.000,0.000,0.000,4.929
497,0.000,0.000,0.000,4.071
498,0.000,0.000,0.000,2.899
499,0.000,0.000,0.000,2.658
500,0.000,0.000,0.000,3.478
501,0.000,0.000,0.000,2.747
502,0.000,0.000,0.000,3.782
503,0.000,0.000,0.000,2.619
504,0.000,0.000,0.000,3.062
505,0.000,0.000,0.000,2.542
506,0.000,0.000,0.000,3.379
507,0.000,0.000,0.000,2.831
508,0.000,0.000,0.000,3.530
509,0.000,0.000,0.000,3.704
510,0.000,0.000,0.000,3.413
511,0.000,0.000,0.000,2.734
512,0.000,0.000,0.000,2.623
513,0.000,0.000,0.000,3.772
514,0.000,0.000,0.000,3.802
515,0.000,0.000,0.000,3.159
516,0.000,0.000,0.000,2.868
517,0.000,0.000,0.000,3.000
518,0.000,0.000,0.000,2.475
519,0.000,0.000,0.000,3.274
520,0.000,0.000,0.000,3.046
521,0.000,1.230,0.000,2.875
522,0.000,0.000,0.000,3.327
523,0.000,0.000,0.000,4.635
524,0.000,0.000,0.000,3.393
525,0.000,0.000,0.000,3.129
526,0.000,0.000,0.000,3.374
527,0.000,0.000,0.000,2.828
528,0.000,0.000,0.000,2.955
529,0.000,0.000,0.000,4.010
530,0.000,1.015,0.000,18.227
531,0.000,0.000,0.000,3.059
532,0.000,0.000,0.000,3.725
533,0.000,0.000,0.000,3.371
534,0.000,0.000,0.000,3.265
535,0.000,0.000,0.000,2.847
536,0.000,0.000,0.000,4.641
537,0.000,0.000,0.000,2.943
538,0.000,0.000,0.000,3.329
539,0.000,0.000,0.000,3.248
540,0.000,0.000,0.000,4.464
541,0.000,0.000,0.000,2.626
542,0.000,0.000,0.000,2.899
543,0.000,0.000,0.000,2.849
544,0.000,0.000,0.000,4.407
545,0.000,0.000,0.000,3.170
546,0.000,0.000,0.000,3.405
547,0.000,0.000,0.000,2.954
548,0.000,0.000,0.000,3.866
549,0.000,0.000,0.000,2.786
550,0.000,0.000,0.000,4.051
551,0.000,0.000,0.000,3.457
552,0.000,0.000,0.000,3.091
553,0.000,0.000,0.000,2.732
554,0.000,0.000,0.000,2.810
555,0.000,0.000,0.000,2.759
556,0.000,0.000,0.000,3.288
557,0.000,0.000,0.000,3.419
558,0.000,0.000,0.000,3.372
559,0.000,0.000,0.000,3.503
560,0.000,0.000,0.000,2.632
561,0.000,0.000,0.000,2.681
562,0.000,0.000,0.000,3.457
563,0.000,1.281,0.000,2.742
564,0.000,0.000,0.000,2.772
565,0.000,0.000,0.000,3.795
566,0.000,0.000,0.000,2.593
567,0.000,0.000,0.000,3.181
568,0.000,0.000,0.000,3.104
569,0.000,0.000,0.000,2.818
570,0.000,0.000,0.000,2.581
571,0.000,0.000,0.000,4.520
572,0.000,0.000,0.000,2.696
573,0.000,0.000,0.000,3.039
574,0.000,0.000,0.000,2.667
575,0.000,0.000,0.000,2.459
576,0.000,0.000,0.000,2.938
577,0.000,0.000,0.000,3.872
578,0.000,0.000,0.000,2.471
579,0.000,0.000,0.000,3.228
580,0.000,0.000,0.000,2.914
581,0.000,0.000,0.000,2.881
582,0.000,0.000,0.000,3.130
583,0.000,0.000,0.000,3.032
584,0.000,0.000,0.000,2.952
585,0.000,0.000,0.000,3.567
586,0.000,0.000,0.000,3.087
