frame_idx,detection_ms,tracking_ms,face_ms,body_ms,db_lookup_ms,total_ms
0,382.132,5.068,32.747,0.003,1.134,689.128
1,367.054,23.430,0.000,0.000,0.000,399.991
2,284.520,2.306,0.000,0.000,0.000,308.426
3,262.857,1.116,0.000,0.000,0.000,272.719
4,224.724,2.226,0.000,0.000,0.000,241.033
5,218.462,1.236,0.000,0.000,0.000,230.122
6,260.591,2.007,0.000,0.000,0.000,275.144
7,228.240,1.171,0.000,0.000,0.000,239.072
8,200.631,1.093,0.000,0.000,0.000,211.527
9,208.529,1.172,0.000,0.000,0.000,219.444
10,190.776,1.096,5.659,0.004,0.053,208.200
11,256.637,1.994,0.000,0.000,0.000,270.685
12,204.278,1.164,0.000,0.000,0.000,214.031
13,226.559,1.163,0.000,0.000,0.000,237.794
14,221.810,1.096,0.000,0.000,0.000,231.596
15,244.371,1.098,0.000,0.000,0.000,258.982
16,245.221,1.159,0.000,0.000,0.000,258.320
17,213.458,2.140,0.000,0.000,0.000,224.220
18,186.246,2.570,0.000,0.000,0.000,200.074
19,198.048,1.353,0.000,0.000,0.000,211.465
20,198.339,1.105,6.547,0.003,0.047,217.507
21,239.910,2.903,0.000,0.000,0.000,254.580
22,207.355,1.900,0.000,0.000,0.000,221.832
23,253.843,3.216,0.000,0.000,0.000,266.710
24,217.649,2.692,0.000,0.000,0.000,231.711
25,203.247,1.468,0.000,0.000,0.000,216.514
26,265.316,1.108,0.000,0.000,0.000,278.302
27,194.141,2.193,0.000,0.000,0.000,209.019
28,219.259,1.952,0.000,0.000,0.000,233.366
29,181.080,1.158,0.000,0.000,0.000,191.913
30,214.599,1.466,4.990,0.004,0.055,230.640
31,227.636,0.658,0.000,0.000,0.000,239.961
32,209.185,0.843,0.000,0.000,0.000,224.890
33,210.896,0.407,0.000,0.000,0.000,222.958
34,219.807,0.567,0.000,0.000,0.000,232.395
35,193.772,0.410,0.000,0.000,0.000,205.410
36,199.513,2.543,0.000,0.000,0.000,215.060
37,237.442,1.077,0.000,0.000,0.000,249.939
38,193.357,1.098,0.000,0.000,0.000,205.827
39,204.992,2.192,0.000,0.000,0.000,218.837
40,201.191,1.099,5.356,0.003,0.041,219.421
41,227.345,2.119,0.000,0.000,0.000,259.591
42,242.096,1.082,0.000,0.000,0.000,253.124
43,225.332,1.804,0.000,0.000,0.000,238.902
44,191.969,1.102,0.000,0.000,0.000,202.733
45,208.423,1.082,0.000,0.000,0.000,221.925
46,205.798,1.582,0.000,0.000,0.000,1653.475
47,190.679,1.104,0.000,0.000,0.000,198.547
48,229.699,2.312,0.000,0.000,0.000,239.812
49,193.488,1.068,0.000,0.000,0.000,200.750
50,243.902,1.702,7.750,0.004,0.069,263.862
51,204.781,1.114,0.000,0.000,0.000,212.847
52,196.281,1.076,0.000,0.000,0.000,203.687
53,206.657,1.113,0.000,0.000,0.000,215.142
54,201.342,2.564,0.000,0.000,0.000,210.929
55,210.088,1.907,0.000,0.000,0.000,219.838
56,232.991,1.095,0.000,0.000,0.000,240.163
57,195.996,1.197,0.000,0.000,0.000,204.459
58,206.233,1.926,0.000,0.000,0.000,214.480
59,213.421,1.101,0.000,0.000,0.000,221.567
60,194.793,1.103,5.146,0.003,0.039,210.844
61,279.657,1.109,0.000,0.000,0.000,287.036
62,216.150,1.150,0.000,0.000,0.000,226.779
63,197.423,2.107,0.000,0.000,0.000,206.219
64,225.902,1.165,0.000,0.000,0.000,236.195
65,186.031,2.202,0.000,0.000,0.000,194.881
66,259.987,1.180,0.000,0.000,0.000,268.116
67,186.373,1.093,0.000,0.000,0.000,193.807
68,192.624,1.071,0.000,0.000,0.000,199.926
69,208.704,1.201,0.000,0.000,0.000,218.333
70,198.740,1.174,5.050,0.003,0.043,211.396
71,250.859,1.777,0.000,0.000,0.000,260.326
72,196.328,1.143,0.000,0.000,0.000,204.574
73,196.148,2.519,0.000,0.000,0.000,205.858
74,191.503,1.135,0.000,0.000,0.000,199.607
75,218.299,1.151,0.000,0.000,0.000,226.791
76,225.027,0.779,0.000,0.000,0.000,234.652
77,265.248,1.559,0.000,0.000,0.000,273.399
78,190.393,0.409,0.000,0.000,0.000,197.416
79,192.920,1.084,0.000,0.000,0.000,200.819
80,201.356,1.087,5.707,0.003,0.040,217.106
81,193.563,1.043,0.000,0.000,0.000,203.557
82,243.357,1.262,0.000,0.000,0.000,251.731
83,193.174,0.545,0.000,0.000,0.000,200.307
84,194.589,1.105,0.000,0.000,0.000,202.592
85,206.426,2.419,0.000,0.000,0.000,215.530
86,209.399,1.175,0.000,0.000,0.000,216.821
87,214.081,2.136,0.000,0.000,0.000,225.991
88,228.385,0.672,0.000,0.000,0.000,238.256
89,199.400,0.785,0.000,0.000,0.000,208.075
90,190.791,1.034,0.000,0.000,0.000,198.635
91,198.283,0.417,0.000,0.000,0.000,205.926
92,194.226,1.310,33.027,0.003,1.447,266.093
93,260.068,0.533,0.000,0.000,0.000,267.412
94,202.958,1.757,0.000,0.000,0.000,214.180
95,205.100,0.446,0.000,0.000,0.000,211.647
96,199.958,0.393,0.000,0.000,0.000,206.214
97,198.190,0.540,0.000,0.000,0.000,205.179
98,251.020,0.635,0.000,0.000,0.000,259.627
99,201.467,0.463,0.000,0.000,0.000,208.088
100,208.939,0.403,0.000,0.000,0.000,218.143
101,188.507,0.397,0.000,0.000,0.000,195.735
102,246.832,0.408,0.000,0.000,0.000,253.790
